0.        , 0.64431524
0.17628368, 0.65554031
0.35238621, 0.66647716
0.52812664, 0.67709724
0.70332439, 0.68736982
0.87779942, 0.69726188
1.05137246, 0.70673802
1.22386514, 0.71576033
1.39510021, 0.7242883 
1.56490173, 0.73227874
1.7330952 , 0.73968565
1.8995078 , 0.74646021
2.06396853, 0.75255069
2.22630839, 0.75790245
2.38636057, 0.76245793
2.5439606 , 0.76615669
2.69894654, 0.7689355 
2.85115913, 0.77072847
3.00044196, 0.7714672 
3.14664163, 0.77108106
3.28960792, 0.76949753
3.42919391, 0.76664253
3.56525617, 0.76244098
3.6976549 , 0.75681733
3.82625403, 0.74969628
3.95092143, 0.74100355
4.07152898, 0.73066683
4.18795277, 0.71861673
4.30007315, 0.70478796
4.40777492, 0.68912057
4.5109474 , 0.67156122
4.60948458, 0.65206464
4.7032852 , 0.63059509
4.79225287, 0.60712779
4.87629619, 0.58165047
4.95532877, 0.55416477
5.02926943, 0.52468762
5.09804217, 0.49325241
5.16157632, 0.45991005
5.21980661, 0.42472974
5.27267319, 0.38779942
5.32012175, 0.349226  
5.36210352, 0.30913504
5.39857536, 0.26767018
5.42949981, 0.2249921 
5.45484508, 0.181277  
5.47458512, 0.13671476
5.48869966, 0.0915067 
5.49717419, 0.04586302
5.5       , 0.        
